SampleID	Cluster
MP10158_S95	8
MP10587_S1	3
MP10826_S46	3
MP10848_S56	4
MP10859_S93	8
MP10950_S3	2
MP11015_S4	5
MP11186_S63	5
MP11193_S85	8
MP11260_S27	3
MP11264_S94	7
MP11370_S59	8
MP11471_S18	2
MP11575_S6	3
MP11711_S39	2
MP11877_S51	2
MP12722_S7	3
MP12729_S91	4
MP12756_S53	1
MP12891_S14	8
MP13030_S69	7
MP13100_S23	3
MP13163_S49	5
MP13400_S72	6
MP13421_S79	5
MP13629_S77	1
MP13741_S26	6
MP13911_S44	2
MP14008_S87	1
MP14142_S57	5
MP14301_S9	2
MP14344_S62	5
MP14371_S15	2
MP14811_S30	1
MP14867_S34	4
MP15034_S76	2
MP15126_S45	1
MP15322_S64	1
MP15542_S17	7
MP15691_S74	8
MP15698_S31	7
MP15807_S12	4
MP15829_S33	5
MP15876_S58	1
MP15920_S67	8
MP16162_S47	7
MP16184_S81	3
MP16396_S36	8
MP16437_S40	2
MP16563_S19	2
MP16599_S20	2
MP16613_S75	8
MP16742_S71	4
MP16835_S52	7
MP17083_S65	6
MP17155_S32	2
MP17168_S43	1
MP17281_S82	3
MP17380_S86	7
MP17444_S70	1
MP17786_S41	8
MP17789_S68	4
MP17882_S29	1
MP17943_S16	2
MP18412_S25	5
MP18472_S73	5
MP18484_S55	2
MP18528_S66	2
MP18553_S2	2
MP18607_S78	2
MP18708_S8	6
MP18879_S21	8
MP18894_S11	3
MP19444_S22	3
MP19645_S5	5
MP19767_S10	7
MP19773_S48	4
MP19798_S80	1
MP19884_S54	2
MP19911_S38	2
MP19957_S37	3
MP10048_S18	4
MP10390_S22	3
MP10393_S58	4
MP10619_S79	4
MP10661_S8	2
MP10703_S77	3
MP11366_S5	3
MP11567_S56	5
MP11729_S90	8
MP12100_S28	4
MP12126_S76	6
MP12169_S11	8
MP12177_S16	3
MP12222_S26	4
MP12687_S38	2
MP12707_S51	6
MP12799_S72	5
MP12892_S65	4
MP12979_S61	6
MP12980_S49	3
MP13140_S48	3
MP13437_S87	7
MP13633_S21	1
MP13685_S52	3
MP13758_S2	3
MP13980_S25	2
MP14115_S88	5
MP14166_S68	2
MP14180_S73	7
MP14311_S40	7
MP14422_S93	4
MP14524_S94	3
MP14574_S78	3
MP14640_S23	4
MP14785_S17	2
MP14873_S19	7
MP14985_S37	3
MP14989_S44	1
MP15271_S45	1
MP15703_S39	3
MP15750_S74	1
MP16088_S30	7
MP16095_S64	5
MP16150_S91	3
MP16288_S36	7
MP16392_S59	2
MP16416_S54	5
MP16626_S31	2
MP16637_S7	6
MP16806_S29	5
MP16821_S62	3
MP17042_S41	4
MP17117_S9	2
MP17244_S69	8
MP17271_S60	5
MP17753_S27	2
MP17897_S53	1
MP18004_S71	4
MP18317_S20	1
MP18335_S12	2
MP18453_S81	2
MP18783_S55	3
MP18818_S42	4
MP18869_S3	7
MP18886_S66	4
MP18944_S33	4
MP19177_S70	3
MP19179_S50	8
MP19361_S4	3
MP19393_S80	4
MP19455_S63	3
MP19464_S15	3
MP19689_S43	4
MP19716_S86	3
MP19954_S67	7
MP10134_S61	3
MP10276_S82	7
MP10306_S49	1
MP10728_S66	6
MP10959_S22	2
MP11007_S75	3
MP11030_S39	2
MP11073_S16	5
MP11157_S56	3
MP11309_S78	2
MP11360_S50	2
MP11450_S62	5
MP11601_S80	6
MP11612_S27	1
MP11764_S74	3
MP11794_S8	1
MP12062_S52	3
MP12158_S85	1
MP12362_S48	2
MP12372_S32	5
MP12511_S2	4
MP12636_S38	7
MP12730_S41	4
MP12841_S45	5
MP13040_S37	2
MP13185_S89	1
MP13190_S81	3
MP13292_S13	1
MP13326_S68	7
MP13424_S73	8
MP13431_S29	4
MP13526_S90	2
MP13836_S92	8
MP13846_S70	6
MP14020_S71	5
MP14063_S5	7
MP14341_S35	4
MP14578_S17	5
MP14645_S20	5
MP14656_S55	1
MP14698_S36	2
MP14707_S1	5
MP14715_S79	7
MP15167_S51	2
MP15230_S33	8
